hash,message,hashes_of_parents,is_merge_commit,list_of_modified_files
6eacbc2aad2d3c8d424b93861c5b6ea7ab44b3b5,[guide] Fix chaining example to be consistent with string interpolation,['019a6edaaaa6d0c4c69b9ef10870962c9279a9e0'],False,['README.md']
b7cc2dc89f1e3b3aa10288ca6c2178a564facb0c,[docs] Fix package name in eslint-config-airbnb-base,['c9edc92a800490b42d4aba07dfc5f52761876581'],False,['README.md']
6593964080c68e3b6d1975fc8c1b77c575933c3b,Fixed Functions (7.1) JSCS rule,['c6b7c9ef94571bf458d4f7aae98806cfbdb55fc0'],False,['README.md']
097047202edd77b40d473aef1c648aef034f1863,[guide] fix Array name in examples,['266860b597a7b341d337f7f44195fac63b677ba2'],False,['README.md']
712e010f2921237113bf6af6f9131302092d785f,"Update common function body comment

- This commit provides a canonical way of describing
  that the function body contains code of some sort.
- The convention chosen was '// ...'.
- This change is persisted throughout the readme file
  where appropriate",['73e27ef03624fdaeb44033d17015858379967302'],False,['README.md']
b06c5c6621942f512ceac6150be93d79c7dfd3ba,"Avoid octal number interpretation

Some JavaScript versions interpret numbers as octal if they are written with a leading zero.
Babel interpreter throws with an `Invalid number` message.",['712e010f2921237113bf6af6f9131302092d785f'],False,['README.md']
41fa95eef91b59048a8d0e9f055d41f98e20b27e,[guide] fix indentation for consistency,['d8c3048f247f3d7cb0d3bf27d901bd5819ef9ce3'],False,['README.md']
cb32f443c9ea94c6b25f9c183776eebf8445c87e,"[guide] fix arrow IIFE call

Currently, it throws.",['6e4859d7c694afcc45366a26f1818d416db5764b'],False,['README.md']
897b8fcc1cdf5356dbcf7f0a5aa111abdad118e6,"Change function order in functions (7.1) example

Part 7.1 says first why function declarations are not good and
after that it recommends to give a name to function expression.
The same order could be used in example too.",['d0fb7635bc421cebc4a317bcd12bc853dd8875ef'],False,['README.md']
2c390ecea94772a61ce616b9ece45695f0216d68,"[eslint config] [breaking] update eslint-plugin-jsx-a11y to v4, enable new rules",['6435f8ff23f5606e4c454b985abace51c586d9fe'],False,"['package.json', 'react-a11y.js']"
1841d2fb99287f01c2ed98f1ca6c6350b509ad11,"Add guidance around not using mixins

Mixins will hopefully be removed from React eventually. In the meantime,
we can avoid the damage they cause by not using them. Most of this was
borrowed from @gaearon's blog post ""Mixins Considered Harmful"".

https://facebook.github.io/react/blog/2016/07/13/mixins-considered-harmful.html",['8cab89e792e2fc457ab177cdf2d97e767e03ecb6'],False,['README.md']
bc21501cc7f5549c3d33fb94682eae9d2ce01c47,"[eslint config] [base] [minor] add `**/*.spec.js` as a test files pattern

(see #1131)",['840d021d07e5dcc036e458e78f9a1f7201e20ba9'],False,['imports.js']
13dc420a9eb5447330bcee75f615f280bc20bf3e,Fix Gitter badge in README.md,['5797f545d8c0840feadc6d1464120d8eb5f47c38'],False,['README.md']
74071a809c22fa1104fe5d86bcd1eda949e1d0d9,"[eslint config] [base] [patch] add error messages to `no-restricted-syntax`

Fixes #1353.",['aa9bbf9f49f9eb2dfca152b25200e0893a9dbedb'],False,['style.js']
2c0da30904d842e80d2b7d0404a65867ba19b6df,"Fix the example of ""propTypes""

This example makes me confused. I guess it missed the use of ""children"" of good code.
Is the example to explain that you should specify default values for non-required props?

Thanks",['54be49ab7d919923a827e6fd1adbb60bc4e1dd57'],False,['README.md']
07d37db67aa84bdd0b0f7fe0bf7050499ecbe5bd,"Merge pull request #1370 from hanzhijue/patch-1

Fix the example of ""propTypes""","['54be49ab7d919923a827e6fd1adbb60bc4e1dd57', '2c0da30904d842e80d2b7d0404a65867ba19b6df']",True,[]
b87cb5cdad74199d3fcb83d135e466c29a56ff4e,"[guide] [Fix] react/prefer-stateless-function ""ignorePureComponents"" option typo",['275d4bba983b76b1e9293751b7700380bc7e8696'],False,['react.js']
ba35e31c76d3c1ab4aeaa7f7967fc4cb98a82787,[eslint config] [breaking] set default React version to 0.15,['c9c5f7efbf91a7d00c0696f5d4318d6c58f81c5c'],False,['react.js']
5dec8272e03ce792f3c1a5dc8cf94042609e0615,[eslint config] [base] [breaking] move `comma-dangle` to Stylistic Issues,['22672c1cdcae9b717ca2710b42f6572f45dea8b5'],False,"['errors.js', 'style.js']"
f5cd2869d35268cc158409195b561b28feca5d94,"[guide] [eslint config] [base] [breaking] Rules prohibiting global isNaN, isFinite.

 - Update README with new Standard Library section.",['5dec8272e03ce792f3c1a5dc8cf94042609e0615'],False,"['README.md', 'best-practices.js', 'variables.js']"
5aa203eaa88fb7febfb1ccf8736e896ca0959049,"[eslint config] [base] [deps] [breaking] require `eslint` v4

 - enable `function-paren-newline`, `for-direction`, `getter-return`, `no-compare-neg-zero`, `semi-style`, `object-curly-newline`, `no-buffer-constructor`, `no-restricted-globals`, `switch-colon-spacing`, `template-tag-spacing`, `prefer-promise-reject-errors`, `prefer-restructuring`
 - improve `indent`, `no-multi-spaces`, `no-trailing-spaces`, `no-underscore-dangle`",['f5cd2869d35268cc158409195b561b28feca5d94'],False,"['.travis.yml', 'package.json', 'best-practices.js', 'errors.js', 'es6.js', 'node.js', 'style.js']"
121a95d71524032bfa858271b318aa6e19553dfc,[eslint config] [deps] [breaking] update `eslint-plugin-jsx-a11y`,['7cef8dad848c5648c6b843e26ea683b9b1f4d43d'],False,['package.json']
01e39775972e3457defd64af2e94843a848d4fe2,"[eslint config] [breaking] enable rules:

 - `no-autofocus`: enable `ignoreNonDOM`
 - add options to `no-static-element-interactions`

 - remove `onclick-has-role`

 - add `alt-text` (replaces `img-has-alt`)
 - add `interactive-supports-focus` (replaces `onclick-has-focus`)

 - add `no-noninteractive-element-interactions`
 - add `media-has-caption`
 - add `no-interactive-element-to-noninteractive-role`
 - add `no-noninteractive-element-to-interactive-role`
 - add `no-noninteractive-tabindex`",['121a95d71524032bfa858271b318aa6e19553dfc'],False,['react-a11y.js']
d469bb25c1e8b762de65bbb5e21ed98d9bf934f7,"[eslint config] [deps] [breaking] update `eslint-plugin-react`

 - enable `react/no-will-update-set-state`
 - delete removed rules
 - `jsx-wrap-multilines`: enable `arrow` option
 - `jsx-first-prop-new-line`: change to `multiline-multiprop`
 - disable `jsx-space-before-closing` in favor of `jsx-tag-spacing`",['01e39775972e3457defd64af2e94843a848d4fe2'],False,"['package.json', 'react.js']"
fe65e4b6492342dd40d3b163090ce82a51863033,"[eslint config] [patch] Fix reported React version

Fixes #1414.",['58e6cd323ad1d010e81fb5d064a40c35e5370556'],False,['react.js']
324bf9c834dead53d6c06ffdf50f764e7d35beb3,Fix option typo,['8cabe49b943b6407ac4a16f776c6945b6e0b34e4'],False,['CHANGELOG.md']
0dd3dbd7b62061e1ca3d1c5467ed3fbca1e5daf6,[eslint config] [base] [breaking] Blacklist confusing globals,['324bf9c834dead53d6c06ffdf50f764e7d35beb3'],False,"['package.json', 'variables.js']"
